manager,name,version,build,channel,installer,role,source
conda,tzdata,2025b,h04d1e81_0,https://repo.anaconda.com/pkgs/main/noarch,conda,inventory,tzdata-2025b-h04d1e81_0.json
conda,ucrt,10.0.26100.1742,0,https://conda.anaconda.org/esri/win-64,conda,inventory,ucrt-10.0.26100.1742-0.json
conda,ujson,5.10.0,py313h5da7b33_1,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,ujson-5.10.0-py313h5da7b33_1.json
conda,urllib3,2.5.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,urllib3-2.5.0-py313haa95532_0.json
conda,vc,14.38,0,https://conda.anaconda.org/esri/win-64,conda,inventory,vc-14.38-0.json
conda,vc14_runtime,14.44.35208,h4927774_10,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,vc14_runtime-14.44.35208-h4927774_10.json
conda,vertexai,1.71.1,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,vertexai-1.71.1-py_0.json
conda,vs2015_runtime,14.44.35208,ha6b5a95_10,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,vs2015_runtime-14.44.35208-ha6b5a95_10.json
conda,wasabi,1.1.3,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,wasabi-1.1.3-py313haa95532_0.json
conda,watchfiles,0.24.0,py313h636fa0f_2,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,watchfiles-0.24.0-py313h636fa0f_2.json
conda,wcwidth,0.2.13,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,wcwidth-0.2.13-py313haa95532_0.json
conda,weasel,0.4.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,weasel-0.4.1-py313haa95532_0.json
conda,webencodings,0.5.1,py313haa95532_2,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,webencodings-0.5.1-py313haa95532_2.json
conda,websocket-client,1.8.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,websocket-client-1.8.0-py313haa95532_0.json
conda,websockets,15.0.1,py313h827c3e9_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,websockets-15.0.1-py313h827c3e9_0.json
conda,werkzeug,3.1.3,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,werkzeug-3.1.3-py313haa95532_0.json
conda,wheel,0.45.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,wheel-0.45.1-py313haa95532_0.json
conda,widgetsnbextension,4.0.13,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,widgetsnbextension-4.0.13-py_0.json
conda,win_inet_pton,1.1.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,win_inet_pton-1.1.0-py313haa95532_0.json
conda,winloop,0.2.2,py313h913537a_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,winloop-0.2.2-py313h913537a_0.json
conda,winpty,0.4.3,4,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,winpty-0.4.3-4.json
conda,wordcloud,1.9.4,py313h827c3e9_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,wordcloud-1.9.4-py313h827c3e9_0.json
conda,wrapt,1.17.0,py313h827c3e9_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,wrapt-1.17.0-py313h827c3e9_0.json
conda,xarray,2025.4.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xarray-2025.4.0-py313haa95532_0.json
conda,xarray-einstats,0.9.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xarray-einstats-0.9.1-py313haa95532_0.json
conda,xeus,3.2.0,1,https://conda.anaconda.org/esri/win-64,conda,inventory,xeus-3.2.0-1.json
conda,xeus-python,0.15.13,py313_0,https://conda.anaconda.org/esri/win-64,conda,inventory,xeus-python-0.15.13-py313_0.json
conda,xeus-python-shell,0.6.3,2,https://conda.anaconda.org/esri/noarch,conda,inventory,xeus-python-shell-0.6.3-2.json
conda,xeus-python-shell-raw,0.6.3,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,xeus-python-shell-raw-0.6.3-py_2.json
conda,xeus-zmq,1.3.0,0,https://conda.anaconda.org/esri/win-64,conda,inventory,xeus-zmq-1.3.0-0.json
conda,xgboost,3.0.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xgboost-3.0.1-py313haa95532_0.json
conda,xlrd,2.0.1,pyhd3eb1b0_1,https://repo.anaconda.com/pkgs/main/noarch,conda,inventory,xlrd-2.0.1-pyhd3eb1b0_1.json
conda,xlwt,1.3.0,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,xlwt-1.3.0-py_0.json
conda,xmltodict,0.14.2,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xmltodict-0.14.2-py313haa95532_0.json
conda,xtl,0.7.5,0,https://conda.anaconda.org/esri/win-64,conda,inventory,xtl-0.7.5-0.json
conda,xxhash,0.8.0,h2bbff1b_3,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xxhash-0.8.0-h2bbff1b_3.json
conda,xyzservices,2025.4.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,xyzservices-2025.4.0-py313haa95532_0.json
conda,xz,5.4.7,0,https://conda.anaconda.org/esri/win-64,conda,inventory,xz-5.4.7-0.json
conda,yaml,0.2.5,0,https://conda.anaconda.org/esri/win-64,conda,inventory,yaml-0.2.5-0.json
conda,yapf,0.40.2,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,yapf-0.40.2-py313haa95532_0.json
conda,yarl,1.18.0,py313h827c3e9_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,yarl-1.18.0-py313h827c3e9_0.json
conda,zarr,3.0.8,py_1,https://conda.anaconda.org/esri/noarch,conda,inventory,zarr-3.0.8-py_1.json
conda,zeromq,4.3.5,ha9f60a1_8,https://conda.anaconda.org/esri/win-64,conda,inventory,zeromq-4.3.5-ha9f60a1_8.json
conda,zfp,1.0.0,hd77b12b_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,zfp-1.0.0-hd77b12b_0.json
conda,zict,3.0.0,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,zict-3.0.0-py_0.json
conda,zipp,3.21.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,zipp-3.21.0-py313haa95532_0.json
conda,zlib,1.3.1,1,https://conda.anaconda.org/esri/win-64,conda,inventory,zlib-1.3.1-1.json
conda,zlib-ng,2.2.4,2,https://conda.anaconda.org/esri/win-64,conda,inventory,zlib-ng-2.2.4-2.json
conda,zstd,1.5.7,0,https://conda.anaconda.org/esri/win-64,conda,inventory,zstd-1.5.7-0.json
pip,Flask,3.1.3,,pypi,pip,pip-only,flask-3.1.3.dist-info
pip,itsdangerous,2.2.0,,pypi,pip,pip-only,itsdangerous-2.2.0.dist-info
pip,pdfminer.six,20251230,,pypi,pip,pip-only,pdfminer_six-20251230.dist-info
pip,pdfplumber,0.11.9,,pypi,pip,pip-only,pdfplumber-0.11.9.dist-info
pip,pluggy,1.6.0,,pypi,pip,pip-overlay,pluggy-1.6.0.dist-info
pip,pypdfium2,5.8.0,,pypi,pip,pip-only,pypdfium2-5.8.0.dist-info
pip,pytest,8.2.1,,pypi,pip,pip-overlay,pytest-8.2.1.dist-info
pip,trimesh,2.35.39,,pypi,pip,pip-overlay,trimesh-2.35.39.dist-info
